data_version=fm-20260911-01 params_sha=6a1bb7f46402 window=320 比對 10 日（2026-09-01～2026-09-14）；repo 原料包 480 份（區間內 10 份）、參考交易日 10 日
2026-09-01  原料包 相同 | 分數 共同 5,835 列 不同 5,835 | diag 相同 | 歸類 ①0 ②0 ③0 ④0 ⑤0 ⑥0 ①連帶1944
    2026-09-04: ('tpex', 'mid', '2641') 欄 line_6: A=45.86564004195248 B=45.7599725727887
    2026-09-04: ('tpex', 'mid', '2643') 欄 line_6: A=45.86564004195248 B=45.7599725727887
    2026-09-04: ('tpex', 'mid', '2718') 欄 line_6: A=48.491403580913115 B=48.38573611174933
    2026-09-04: ('tpex', 'mid', '2719') 欄 line_3: A=11.732892774831976 B=12.086794543528791
    2026-09-04: ('tpex', 'mid', '2726') 欄 line_3: A=13.922422090861353 B=14.393375819116255
    2026-09-04: ('tpex', 'mid', '2729') 欄 line_3: A=45.393282737426794 B=46.02895623220008
    2026-09-04: ('tpex', 'mid', '2732') 欄 line_2: A=54.934886988757306 B=41.17702562580656
    2026-09-04: ('tpex', 'mid', '2734') 欄 line_3: A=35.268382111378216 B=36.02479459158664
    …另 7722 筆（--show 放大）
2026-09-07  原料包 相同 | 分數 共同 5,883 列 不同 5,883 | diag 相同 | 歸類 ①14 ②0 ③0 ④1946 ⑤0 ⑥0
    2026-09-07: ('tpex', 'mid', '1240') 欄 line_2: A=67.53206577636327 B=40.5198272165467
    2026-09-07: ('tpex', 'mid', '1259') 欄 line_3: A=49.95899901188394 B=50.07019406272919
    2026-09-07: ('tpex', 'mid', '1264') 欄 line_6: A=46.17524200955799 B=46.013069081349464
    2026-09-07: ('tpex', 'mid', '1268') 欄 line_2: A=70.0687251169499 B=55.95571306060999
    2026-09-07: ('tpex', 'mid', '1294') 欄 line_6: A=46.17524200955799 B=46.013069081349464
    2026-09-07: ('tpex', 'mid', '1295') 欄 line_6: A=46.17524200955799 B=46.013069081349464
    2026-09-07: ('tpex', 'mid', '1336') 欄 line_6: A=45.355781703293815 B=45.19360877508529
    2026-09-07: ('tpex', 'mid', '1565') 欄 line_6: A=39.84278204754352 B=39.680609119334996
    2026-09-07: ('tpex', 'mid', '1569') 欄 line_6: A=40.3580212131029 B=40.19584828489437
    2026-09-07: ('tpex', 'mid', '1570') 欄 line_3: A=23.10653047196494 B=23.490151135103297
