# d 校準報告  dump 2021-01-01～2023-06-30（603 日） data_version=fm-20260911-01 params_sha=a6a3f35cd1f0  p85 method=linear  閘門 15.0%  距離型容差 25%
# 鍵數：{'distance': 30, 'calibrate': 172, 'not_applicable': 90, 'persistence': 12}；有樣本的鍵 266／304；樣本合計 68,701,750、跳過 10,089,667
# clip_old%／clip_new%＝舊 d／新 d（p85÷3）下 |x−c|>3d 的比例；clip_eff%＝生效 d（見檔頭）下的比例；med!＝|median−c|>d_new；adopt＝距離型 |d_new−d_old|/d_old 超容差；gate＝clip_eff% > 閘門＋100/n（一個樣本的離散化餘裕；嚴格版見下方清單）；p85=0 者 d_eff 留空＝退化
category     key                                                               n       c    d_old       p85     d_new  clipO%  clipN%    d_eff  clipE%     median med! adopt gate
calibrate    stock__tpex__swing__5__A__foreign_strength_short             478443    0.00   4.0000   11.3483    3.7828   13.80   15.00   3.7828   15.00     0.0000          —     
calibrate    stock__tpex__swing__5__B__trust_strength_long                478390    0.00   3.0000    0.0000    0.0000    1.06       —        —       —     0.0000          —     
calibrate    stock__tpex__swing__5__B__trust_strength_short               478443    0.00   4.0000    0.0000    0.0000    0.85       —        —       —     0.0000          —     
calibrate    stock__tpex__swing__5__D__margin_scenario                    356345    0.00   5.0000   20.1960    6.7320   21.31   15.00   6.7320   15.00    -0.9224          —     
calibrate    stock__tpex__swing__5__E__short_sale_change                  411532    0.00   0.3000    0.1620    0.0540    0.86   15.00   0.0540   15.00     0.0000          —     
calibrate    stock__tpex__swing__6__B__industry_relative_return           483246    0.00   4.0000    4.0684    1.3561    0.21   14.99   1.3561   14.99    -0.6240          —     
calibrate    stock__twse__mid__1__A__revenue_accel                        579490    0.00  10.0000   41.2170   13.7390   23.89   15.00  13.7390   15.00    -1.0784          —     
calibrate    stock__twse__mid__1__A__revenue_yoy                          582271    0.00  15.0000   50.7685   16.9228   18.36   15.00  16.9228   15.00     7.0529          —     
calibrate    stock__twse__mid__1__B__eps_diff_over_price                  156873    0.00   2.0000    4.9351    1.6450   11.34   14.99   1.6450   14.99     1.0183          —     
calibrate    stock__twse__mid__1__B__eps_yoy                              404804    0.00  20.0000  152.6316   50.8772   44.50   14.99  50.8772   14.99     3.8462          —     
calibrate    stock__twse__mid__1__B__equity_qoq                                0    0.00   2.0000         —         —       —       —        —       —          —    —     —     
calibrate    stock__twse__mid__1__B__gross_margin_qoq                     557973    0.00   1.0000    7.3947    2.4649   41.01   15.00   2.4649   15.00     0.0001          —     
calibrate    stock__twse__mid__1__B__pretax_income_yoy                     13171    0.00  20.0000  115.6812   38.5604   33.70   14.61  38.5604   14.61    -2.8749          —     
calibrate    stock__twse__mid__1__C__revenue_yoy_vs_industry              578903    0.00  10.0000   43.9182   14.6394   26.05   15.00  14.6394   15.00     0.0000          —     
calibrate    stock__twse__mid__2__B__ma_long_slope                        591725    0.00   1.0000    2.2343    0.7448    6.01   15.00   0.7448   15.00     0.2025          —     
calibrate    stock__twse__mid__3__A__excess_long                          592460    0.00   8.0000   21.6444    7.2148   12.33   15.00   7.2148   15.00    -0.4948          —     
calibrate    stock__twse__mid__3__A__excess_short                         593925    0.00   5.0000   12.2640    4.0880   10.01   15.00   4.0880   15.00    -0.2958          —     
calibrate    stock__twse__mid__3__B__excess_vs_industry                   590457    0.00   8.0000   18.8005    6.2668    9.89   15.00   6.2668   15.00     0.0000          —     
calibrate    stock__twse__mid__3__C__excess_accel                         593212    0.00   5.0000   18.4262    6.1421   21.48   15.00   6.1421   15.00     0.3622          —     
calibrate    stock__twse__mid__4__A__obv_slope                            593925    0.00   0.5000    0.4551    0.1517    0.00   15.00   0.1517   15.00     0.0489          —     
calibrate    stock__twse__mid__4__A__updown_volume_ratio                  593907    0.00   0.3000    0.6110    0.2037    5.19   15.00   0.2037   15.00     0.0839          —     
calibrate    stock__twse__mid__5__A__foreign_strength_long                592800    0.00   2.0000   11.8417    3.9472   34.93   15.00   3.9472   15.00    -0.0259          —     
calibrate    stock__twse__mid__5__A__foreign_strength_short               593024    0.00   3.0000   14.9082    4.9694   30.53   15.00   4.9694   15.00     0.0000          —     
calibrate    stock__twse__mid__5__B__trust_strength_long                  592800    0.00   2.0000    1.2939    0.4313    3.82   15.00   0.4313   15.00     0.0000          —     
calibrate    stock__twse__mid__5__B__trust_strength_short                 593024    0.00   3.0000    1.2835    0.4278    2.59   15.00   0.4278   15.00     0.0000          —     
calibrate    stock__twse__mid__5__D__margin_scenario                      535792    0.00   5.0000   29.8246    9.9415   34.47   15.00   9.9415   15.00    -2.4306          —     
calibrate    stock__twse__mid__5__E__short_sale_change                    570417    0.00   0.3000    0.3809    0.1270    4.09   15.00   0.1270   15.00     0.0000          —     
calibrate    stock__twse__mid__6__B__industry_relative_return             593925    0.00   5.0000    6.2693    2.0898    1.03   15.00   2.0898   15.00    -0.1435          —     
calibrate    stock__twse__short__1__A__revenue_accel                      579490    0.00  10.0000   41.2170   13.7390   23.89   15.00  13.7390   15.00    -1.0784          —     
calibrate    stock__twse__short__1__A__revenue_yoy                        583475    0.00  20.0000   57.8220   19.2740   14.03   15.00  19.2740   15.00     6.5653          —     
calibrate    stock__twse__short__2__B__ma_long_slope                      593790    0.00   0.5000    1.0063    0.3354    2.85   14.99   0.3354   14.99     0.0527          —     
calibrate    stock__twse__short__3__A__excess_long                        594249    0.00   4.0000    8.4494    2.8165    7.48   15.00   2.8165   15.00    -0.2258          —     
calibrate    stock__twse__short__3__A__excess_short                       594409    0.00   3.0000    5.8231    1.9410    6.44   15.00   1.9410   15.00    -0.1560          —     
